folder,instance_code,primary_code,screen_name_ko,variant_slug,state_code,artifact_type,route_or_overlay,implementation_method,notes
stitch_salary_hijacking_design_system_classified/MOD-002-V003__expense-delete-confirm-alt,MOD-002-V003,MOD-002,,expense-delete-confirm-alt,CONFIRM,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-002-V004__deletion-processing,MOD-002-V004,MOD-002,,deletion-processing,PROCESSING,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-003-V001__plan-save-success,MOD-003-V001,MOD-003,,plan-save-success,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-003-V002__plan-save-success-alt,MOD-003-V002,MOD-003,,plan-save-success-alt,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-004-V001__budget-plan-warning,MOD-004-V001,MOD-004,,budget-plan-warning,WARNING,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-004-V002__daily-budget-overrun,MOD-004-V002,MOD-004,,daily-budget-overrun,WARNING,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-005-V001__news-mission-complete,MOD-005-V001,MOD-005,,news-mission-complete,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-005-V002__reading-mission-complete,MOD-005-V002,MOD-005,,reading-mission-complete,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-005-V003__health-already-complete,MOD-005-V003,MOD-005,,health-already-complete,COMPLETED,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-005-V004__news-already-complete,MOD-005-V004,MOD-005,,news-already-complete,COMPLETED,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-005-V005__reading-already-complete,MOD-005-V005,MOD-005,,reading-already-complete,COMPLETED,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-005-V006__workout-record-complete,MOD-005-V006,MOD-005,,workout-record-complete,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-005-V007__mission-complete-xp,MOD-005-V007,MOD-005,,mission-complete-xp,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-005-V008__xp-result-state-board,MOD-005-V008,MOD-005,,xp-result-state-board,MULTI_STATE,multi_state_board,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-006-V001__health-levelup,MOD-006-V001,MOD-006,,health-levelup,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-006-V002__english-levelup-share,MOD-006-V002,MOD-006,,english-levelup-share,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-006-V003__reading-levelup,MOD-006-V003,MOD-006,,reading-levelup,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-006-V004__levelup-celebration,MOD-006-V004,MOD-006,,levelup-celebration,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-006-V005__levelup-result,MOD-006-V005,MOD-006,,levelup-result,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-007-V001__post-registration-result-board,MOD-007-V001,MOD-007,,post-registration-result-board,MULTI_STATE,multi_state_board,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-008-V001__report-result-board,MOD-008-V001,MOD-008,,report-result-board,MULTI_STATE,multi_state_board,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-008-V002__comment-report-success,MOD-008-V002,MOD-008,,comment-report-success,SUCCESS,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-009-V001__logout-confirm,MOD-009-V001,MOD-009,,logout-confirm,CONFIRM,modal,overlay,,
stitch_salary_hijacking_design_system_classified/MOD-010-V001__withdrawal-final-confirm,MOD-010-V001,MOD-010,,withdrawal-final-confirm,CONFIRM,modal,overlay,,
stitch_salary_hijacking_design_system_classified/SCR-001-V001__brand-loading,SCR-001-V001,SCR-001,,brand-loading,LOADING,screen,/splash,,
stitch_salary_hijacking_design_system_classified/SCR-001-V002__login-state-check,SCR-001-V002,SCR-001,,login-state-check,LOADING,screen,/splash,,
stitch_salary_hijacking_design_system_classified/SCR-001-V003__brand-loading-alt,SCR-001-V003,SCR-001,,brand-loading-alt,LOADING,screen,/splash,,
stitch_salary_hijacking_design_system_classified/SCR-001-V004__splash-static,SCR-001-V004,SCR-001,,splash-static,DEFAULT,screen,/splash,,
stitch_salary_hijacking_design_system_classified/SCR-001-V005__splash-static-alt,SCR-001-V005,SCR-001,,splash-static-alt,DEFAULT,screen,/splash,,
stitch_salary_hijacking_design_system_classified/SCR-001-V006__splash-default,SCR-001-V006,SCR-001,,splash-default,DEFAULT,screen,/splash,,
stitch_salary_hijacking_design_system_classified/SCR-001-V007__splash-default-alt,SCR-001-V007,SCR-001,,splash-default-alt,DEFAULT,screen,/splash,,
stitch_salary_hijacking_design_system_classified/SCR-001-V008__auth-check,SCR-001-V008,SCR-001,,auth-check,LOADING,screen,/splash,,
stitch_salary_hijacking_design_system_classified/SCR-002-V001__password-login,SCR-002-V001,SCR-002,,password-login,DEFAULT,screen,/auth/login,,
stitch_salary_hijacking_design_system_classified/SCR-002-V002__social-login,SCR-002-V002,SCR-002,,social-login,DEFAULT,screen,/auth/login,,
stitch_salary_hijacking_design_system_classified/SCR-002-V003__login-credential-error,SCR-002-V003,SCR-002,,login-credential-error,ERROR,screen,/auth/login,,
stitch_salary_hijacking_design_system_classified/SCR-002-V004__password-recovery,SCR-002-V004,SCR-002,,password-recovery,INPUT,screen,/auth/login,,
stitch_salary_hijacking_design_system_classified/SCR-002-V005__login-default-alt,SCR-002-V005,SCR-002,,login-default-alt,DEFAULT,screen,/auth/login,,
stitch_salary_hijacking_design_system_classified/SCR-002-V006__logout-complete,SCR-002-V006,SCR-002,,logout-complete,SUCCESS,screen,/auth/login,,
stitch_salary_hijacking_design_system_classified/SCR-003-V001__signup-review,SCR-003-V001,SCR-003,,signup-review,REVIEW,screen,/auth/signup,,
stitch_salary_hijacking_design_system_classified/SCR-003-V002__account-info,SCR-003-V002,SCR-003,,account-info,INPUT,screen,/auth/signup,,
stitch_salary_hijacking_design_system_classified/SCR-003-V003__social-signup-info,SCR-003-V003,SCR-003,,social-signup-info,INPUT,screen,/auth/signup,,
stitch_salary_hijacking_design_system_classified/SCR-003-V004__signup-welcome,SCR-003-V004,SCR-003,,signup-welcome,ONBOARDING,screen,/auth/signup,,
stitch_salary_hijacking_design_system_classified/SCR-003-V005__phone-number-step,SCR-003-V005,SCR-003,,phone-number-step,INPUT,screen,/auth/signup,,
stitch_salary_hijacking_design_system_classified/SCR-003-V006__password-creation,SCR-003-V006,SCR-003,,password-creation,INPUT,screen,/auth/signup,,
stitch_salary_hijacking_design_system_classified/SCR-003-V007__identity-verification,SCR-003-V007,SCR-003,,identity-verification,INPUT,screen,/auth/signup,,
stitch_salary_hijacking_design_system_classified/SCR-003-V008__account-info-alt,SCR-003-V008,SCR-003,,account-info-alt,INPUT,screen,/auth/signup,,
stitch_salary_hijacking_design_system_classified/SCR-003-V009__signup-complete,SCR-003-V009,SCR-003,,signup-complete,SUCCESS,screen,/auth/signup,,
stitch_salary_hijacking_design_system_classified/SCR-004-V001__salary-amount-keypad,SCR-004-V001,SCR-004,,salary-amount-keypad,INPUT,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-004-V002__expected-salary-step,SCR-004-V002,SCR-004,,expected-salary-step,INPUT,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-004-V003__onboarding-intro,SCR-004-V003,SCR-004,,onboarding-intro,ONBOARDING,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-004-V004__onboarding-intro-alt,SCR-004-V004,SCR-004,,onboarding-intro-alt,ONBOARDING,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-004-V005__daily-budget-step,SCR-004-V005,SCR-004,,daily-budget-step,INPUT,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-004-V006__plan-review,SCR-004-V006,SCR-004,,plan-review,REVIEW,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-004-V007__payday-step,SCR-004-V007,SCR-004,,payday-step,INPUT,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-004-V008__onboarding-complete,SCR-004-V008,SCR-004,,onboarding-complete,SUCCESS,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-004-V009__fixed-expense-step,SCR-004-V009,SCR-004,,fixed-expense-step,INPUT,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-004-V010__fixed-savings-step,SCR-004-V010,SCR-004,,fixed-savings-step,INPUT,screen,/onboarding/payroll,,
stitch_salary_hijacking_design_system_classified/SCR-005-V001__budget-overrun-inline,SCR-005-V001,SCR-005,,budget-overrun-inline,WARNING,screen,/salary,,
stitch_salary_hijacking_design_system_classified/SCR-005-V002__salary-home-default,SCR-005-V002,SCR-005,,salary-home-default,DEFAULT,screen,/salary,,
stitch_salary_hijacking_design_system_classified/SCR-005-V003__no-plan,SCR-005-V003,SCR-005,,no-plan,EMPTY,screen,/salary,,
stitch_salary_hijacking_design_system_classified/SCR-005-V004__salary-home-compact,SCR-005-V004,SCR-005,,salary-home-compact,DEFAULT,screen,/salary,,
stitch_salary_hijacking_design_system_classified/SCR-005-V005__salary-home-detailed,SCR-005-V005,SCR-005,,salary-home-detailed,DEFAULT,screen,/salary,,
stitch_salary_hijacking_design_system_classified/SCR-005-V006__offline-preview,SCR-005-V006,SCR-005,,offline-preview,OFFLINE,screen,/salary,,
stitch_salary_hijacking_design_system_classified/SCR-006-V001__edit-status-management,SCR-006-V001,SCR-006,,edit-status-management,EDIT,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V002__refund-processing,SCR-006-V002,SCR-006,,refund-processing,EDIT,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V003__add-expense,SCR-006-V003,SCR-006,,add-expense,ADD,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V004__delete-not-allowed,SCR-006-V004,SCR-006,,delete-not-allowed,BLOCKED,modal,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V005__invalidate-confirm,SCR-006-V005,SCR-006,,invalidate-confirm,CONFIRM,modal,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V006__add-expense-detail,SCR-006-V006,SCR-006,,add-expense-detail,ADD,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V007__refund-form,SCR-006-V007,SCR-006,,refund-form,INPUT,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V008__add-expense-compact,SCR-006-V008,SCR-006,,add-expense-compact,ADD,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V009__delete-failure,SCR-006-V009,SCR-006,,delete-failure,ERROR,modal,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V010__invalidate-reason,SCR-006-V010,SCR-006,,invalidate-reason,INPUT,bottom_sheet,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V011__add-expense-empty,SCR-006-V011,SCR-006,,add-expense-empty,INPUT,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V012__add-expense-validation,SCR-006-V012,SCR-006,,add-expense-validation,INPUT,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V013__edit-status-management-alt,SCR-006-V013,SCR-006,,edit-status-management-alt,EDIT,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-006-V014__add-expense-mobile,SCR-006-V014,SCR-006,,add-expense-mobile,ADD,screen,/expenses/:expenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-007-V001__no-new-notifications,SCR-007-V001,SCR-007,,no-new-notifications,EMPTY,screen,/notifications,,
stitch_salary_hijacking_design_system_classified/SCR-007-V002__all-read,SCR-007-V002,SCR-007,,all-read,ALL_READ,screen,/notifications,,
stitch_salary_hijacking_design_system_classified/SCR-007-V003__notification-list,SCR-007-V003,SCR-007,,notification-list,DEFAULT,screen,/notifications,,
stitch_salary_hijacking_design_system_classified/SCR-007-V004__salary-career-notifications,SCR-007-V004,SCR-007,,salary-career-notifications,DEFAULT,screen,/notifications,,
stitch_salary_hijacking_design_system_classified/SCR-007-V005__offline-preview,SCR-007-V005,SCR-007,,offline-preview,OFFLINE,screen,/notifications,,
stitch_salary_hijacking_design_system_classified/SCR-007-V006__no-unread-with-list,SCR-007-V006,SCR-007,,no-unread-with-list,EMPTY,screen,/notifications,,
stitch_salary_hijacking_design_system_classified/SCR-007-V007__notifications-empty,SCR-007-V007,SCR-007,,notifications-empty,EMPTY,screen,/notifications,,
stitch_salary_hijacking_design_system_classified/SCR-007-V008__notification-load-error,SCR-007-V008,SCR-007,,notification-load-error,ERROR,screen,/notifications,,
stitch_salary_hijacking_design_system_classified/SCR-007-V009__notifications-empty-alt,SCR-007-V009,SCR-007,,notifications-empty-alt,EMPTY,screen,/notifications,,
stitch_salary_hijacking_design_system_classified/SCR-008-V001__current-plan-summary,SCR-008-V001,SCR-008,,current-plan-summary,DEFAULT,screen,/plan,,
stitch_salary_hijacking_design_system_classified/SCR-008-V002__budget-summary-alt,SCR-008-V002,SCR-008,,budget-summary-alt,SUMMARY,screen,/plan,,
stitch_salary_hijacking_design_system_classified/SCR-008-V003__salary-info-edit,SCR-008-V003,SCR-008,,salary-info-edit,EDIT,screen,/plan,,
stitch_salary_hijacking_design_system_classified/SCR-008-V004__plan-default,SCR-008-V004,SCR-008,,plan-default,DEFAULT,screen,/plan,,
stitch_salary_hijacking_design_system_classified/SCR-008-V005__previous-plan-picker,SCR-008-V005,SCR-008,,previous-plan-picker,INPUT,modal,/plan,,
stitch_salary_hijacking_design_system_classified/SCR-008-V006__plan-empty,SCR-008-V006,SCR-008,,plan-empty,EMPTY,screen,/plan,,
stitch_salary_hijacking_design_system_classified/SCR-008-V007__budget-detail-summary,SCR-008-V007,SCR-008,,budget-detail-summary,SUMMARY,screen,/plan,,
stitch_salary_hijacking_design_system_classified/SCR-008-V008__plan-validation-warning,SCR-008-V008,SCR-008,,plan-validation-warning,WARNING,screen,/plan,,
stitch_salary_hijacking_design_system_classified/SCR-009-V001__saving,SCR-009-V001,SCR-009,,saving,SAVING,screen,/plan/fixed-expenses/:fixedExpenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-009-V002__edit-inactive,SCR-009-V002,SCR-009,,edit-inactive,EDIT,screen,/plan/fixed-expenses/:fixedExpenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-009-V003__add-fixed-expense,SCR-009-V003,SCR-009,,add-fixed-expense,ADD,screen,/plan/fixed-expenses/:fixedExpenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-009-V004__save-failure,SCR-009-V004,SCR-009,,save-failure,ERROR,screen,/plan/fixed-expenses/:fixedExpenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-009-V005__register-fixed-expense,SCR-009-V005,SCR-009,,register-fixed-expense,ADD,screen,/plan/fixed-expenses/:fixedExpenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-009-V006__add-fixed-expense-detailed,SCR-009-V006,SCR-009,,add-fixed-expense-detailed,ADD,screen,/plan/fixed-expenses/:fixedExpenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-009-V007__edit-fixed-expense,SCR-009-V007,SCR-009,,edit-fixed-expense,EDIT,screen,/plan/fixed-expenses/:fixedExpenseId?,,
stitch_salary_hijacking_design_system_classified/SCR-010-V001__add-goal,SCR-010-V001,SCR-010,,add-goal,ADD,screen,/plan/fixed-savings/:fixedSavingId?,,
stitch_salary_hijacking_design_system_classified/SCR-010-V002__add-savings-goal,SCR-010-V002,SCR-010,,add-savings-goal,ADD,screen,/plan/fixed-savings/:fixedSavingId?,,
stitch_salary_hijacking_design_system_classified/SCR-010-V003__add-savings,SCR-010-V003,SCR-010,,add-savings,ADD,screen,/plan/fixed-savings/:fixedSavingId?,,
stitch_salary_hijacking_design_system_classified/SCR-010-V004__add-investment,SCR-010-V004,SCR-010,,add-investment,ADD,screen,/plan/fixed-savings/:fixedSavingId?,,
stitch_salary_hijacking_design_system_classified/SCR-010-V005__saving,SCR-010-V005,SCR-010,,saving,SAVING,screen,/plan/fixed-savings/:fixedSavingId?,,
stitch_salary_hijacking_design_system_classified/SCR-010-V006__save-failure,SCR-010-V006,SCR-010,,save-failure,ERROR,screen,/plan/fixed-savings/:fixedSavingId?,,
stitch_salary_hijacking_design_system_classified/SCR-010-V007__edit-savings,SCR-010-V007,SCR-010,,edit-savings,EDIT,screen,/plan/fixed-savings/:fixedSavingId?,,
stitch_salary_hijacking_design_system_classified/SCR-010-V008__edit-inactive,SCR-010-V008,SCR-010,,edit-inactive,EDIT,screen,/plan/fixed-savings/:fixedSavingId?,,
stitch_salary_hijacking_design_system_classified/SCR-010-V009__delete-confirm,SCR-010-V009,SCR-010,,delete-confirm,CONFIRM,modal,/plan/fixed-savings/:fixedSavingId?,,
stitch_salary_hijacking_design_system_classified/SCR-011-V001__save-failure,SCR-011-V001,SCR-011,,save-failure,ERROR,screen,/plan/daily-budget,,
stitch_salary_hijacking_design_system_classified/SCR-011-V002__daily-budget-input,SCR-011-V002,SCR-011,,daily-budget-input,INPUT,screen,/plan/daily-budget,,
stitch_salary_hijacking_design_system_classified/SCR-011-V003__saving,SCR-011-V003,SCR-011,,saving,SAVING,screen,/plan/daily-budget,,
stitch_salary_hijacking_design_system_classified/SCR-011-V004__daily-budget-settings,SCR-011-V004,SCR-011,,daily-budget-settings,DEFAULT,screen,/plan/daily-budget,,
stitch_salary_hijacking_design_system_classified/SCR-011-V005__daily-budget-alt,SCR-011-V005,SCR-011,,daily-budget-alt,DEFAULT,screen,/plan/daily-budget,,
stitch_salary_hijacking_design_system_classified/SCR-011-V006__weekday-weekend-budget,SCR-011-V006,SCR-011,,weekday-weekend-budget,DEFAULT,screen,/plan/daily-budget,,
stitch_salary_hijacking_design_system_classified/SCR-011-V007__saving-alt,SCR-011-V007,SCR-011,,saving-alt,SAVING,screen,/plan/daily-budget,,
stitch_salary_hijacking_design_system_classified/SCR-012-V001__mission-status-board,SCR-012-V001,SCR-012,,mission-status-board,MULTI_STATE,multi_state_board,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V002__home-default,SCR-012-V002,SCR-012,,home-default,DEFAULT,screen,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V003__record-pending,SCR-012-V003,SCR-012,,record-pending,PENDING,screen,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V004__mission-start-confirm,SCR-012-V004,SCR-012,,mission-start-confirm,CONFIRM,modal,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V005__quick-mission-detail,SCR-012-V005,SCR-012,,quick-mission-detail,DETAIL,screen,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V006__load-error,SCR-012-V006,SCR-012,,load-error,ERROR,screen,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V007__no-content,SCR-012-V007,SCR-012,,no-content,EMPTY,screen,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V008__all-daily-complete,SCR-012-V008,SCR-012,,all-daily-complete,COMPLETED,screen,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V009__main-default,SCR-012-V009,SCR-012,,main-default,DEFAULT,screen,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V010__mission-progress,SCR-012-V010,SCR-012,,mission-progress,IN_PROGRESS,screen,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-012-V011__recommendations,SCR-012-V011,SCR-012,,recommendations,DEFAULT,screen,/lv-up,,
stitch_salary_hijacking_design_system_classified/SCR-013-V001__reading-home,SCR-013-V001,SCR-013,,reading-home,DEFAULT,screen,/lv-up/reading,,
stitch_salary_hijacking_design_system_classified/SCR-013-V002__source-unavailable,SCR-013-V002,SCR-013,,source-unavailable,ERROR,screen,/lv-up/reading,,
stitch_salary_hijacking_design_system_classified/SCR-013-V003__certification-share-review,SCR-013-V003,SCR-013,,certification-share-review,SHARE_REVIEW,screen,/lv-up/reading,,
stitch_salary_hijacking_design_system_classified/SCR-013-V004__book-detail,SCR-013-V004,SCR-013,,book-detail,DETAIL,screen,/lv-up/reading,,
stitch_salary_hijacking_design_system_classified/SCR-013-V005__reading-flow,SCR-013-V005,SCR-013,,reading-flow,FLOW,flow_board,/lv-up/reading,,
stitch_salary_hijacking_design_system_classified/SCR-013-V006__reading-record-flow,SCR-013-V006,SCR-013,,reading-record-flow,FLOW,flow_board,/lv-up/reading,,
stitch_salary_hijacking_design_system_classified/SCR-013-V007__recommendation-error-empty,SCR-013-V007,SCR-013,,recommendation-error-empty,MULTI_STATE,multi_state_board,/lv-up/reading,,
stitch_salary_hijacking_design_system_classified/SCR-013-V008__reading-start-confirm,SCR-013-V008,SCR-013,,reading-start-confirm,CONFIRM,modal,/lv-up/reading,,
stitch_salary_hijacking_design_system_classified/SCR-013-V009__reading-in-progress,SCR-013-V009,SCR-013,,reading-in-progress,IN_PROGRESS,screen,/lv-up/reading,,
stitch_salary_hijacking_design_system_classified/SCR-014-V001__news-mission-flow,SCR-014-V001,SCR-014,,news-mission-flow,FLOW,flow_board,/lv-up/news,,
stitch_salary_hijacking_design_system_classified/SCR-014-V002__share-review,SCR-014-V002,SCR-014,,share-review,SHARE_REVIEW,screen,/lv-up/news,,
stitch_salary_hijacking_design_system_classified/SCR-014-V003__perspective-comparison,SCR-014-V003,SCR-014,,perspective-comparison,DETAIL,screen,/lv-up/news,,
stitch_salary_hijacking_design_system_classified/SCR-014-V004__offline-preview,SCR-014-V004,SCR-014,,offline-preview,OFFLINE,screen,/lv-up/news,,
stitch_salary_hijacking_design_system_classified/SCR-014-V005__news-flow,SCR-014-V005,SCR-014,,news-flow,FLOW,flow_board,/lv-up/news,,
stitch_salary_hijacking_design_system_classified/SCR-014-V006__record-input,SCR-014-V006,SCR-014,,record-input,INPUT,screen,/lv-up/news,,
stitch_salary_hijacking_design_system_classified/SCR-014-V007__content-load-error,SCR-014-V007,SCR-014,,content-load-error,ERROR,screen,/lv-up/news,,
stitch_salary_hijacking_design_system_classified/SCR-014-V008__issue-detail,SCR-014-V008,SCR-014,,issue-detail,DETAIL,screen,/lv-up/news,,
stitch_salary_hijacking_design_system_classified/SCR-015-V001__daily-english-detail,SCR-015-V001,SCR-015,,daily-english-detail,DETAIL,screen,/lv-up/english,,
stitch_salary_hijacking_design_system_classified/SCR-015-V002__english-learning-flow,SCR-015-V002,SCR-015,,english-learning-flow,FLOW,flow_board,/lv-up/english,,
stitch_salary_hijacking_design_system_classified/SCR-015-V003__english-home,SCR-015-V003,SCR-015,,english-home,DEFAULT,screen,/lv-up/english,,
stitch_salary_hijacking_design_system_classified/SCR-015-V004__record-success-flow,SCR-015-V004,SCR-015,,record-success-flow,FLOW,flow_board,/lv-up/english,,
stitch_salary_hijacking_design_system_classified/SCR-015-V005__learning-session-flow,SCR-015-V005,SCR-015,,learning-session-flow,FLOW,flow_board,/lv-up/english,,
stitch_salary_hijacking_design_system_classified/SCR-016-V001__pre-workout-safety-check,SCR-016-V001,SCR-016,,pre-workout-safety-check,CHECK,screen,/lv-up/health,,
stitch_salary_hijacking_design_system_classified/SCR-016-V002__offline-cached-routine,SCR-016-V002,SCR-016,,offline-cached-routine,OFFLINE,screen,/lv-up/health,,
stitch_salary_hijacking_design_system_classified/SCR-016-V003__health-home,SCR-016-V003,SCR-016,,health-home,DEFAULT,screen,/lv-up/health,,
stitch_salary_hijacking_design_system_classified/SCR-016-V004__workout-detail,SCR-016-V004,SCR-016,,workout-detail,DETAIL,screen,/lv-up/health,,
stitch_salary_hijacking_design_system_classified/SCR-016-V005__safety-info-unavailable,SCR-016-V005,SCR-016,,safety-info-unavailable,ERROR,screen,/lv-up/health,,
