ORIGINAL_ROW_ID,ORIGINAL_REQUIREMENT_ID,ORIGINAL_TITLE,CLASSIFICATION,CANONICAL_REQ_ID,CANONICAL_RELATION,IS_NORMATIVE,IS_STITCH_OR_UI_STATE,IS_GATE,IS_LEGACY,IS_SUPERSEDED,NOTES
16,REQ-LV-001,Reading/news/English/health content completion must prevent duplicate XP and persist state,LEGACY_REQUIREMENT,LV-001,MAPS_TO,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
17,REQ-COMM-001,Community list/write/detail/comment/like/report/block must be DB-backed and moderated,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
18,REQ-ADMIN-001,"Admin operations require RBAC, reason, audit logging, moderation and growth content management",LEGACY_REQUIREMENT,ADMIN-001,MAPS_TO,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
19,REQ-ADS-001,Ads/partners must be contextual-only and never use raw financial data,LEGACY_REQUIREMENT,ADS-001,MAPS_TO,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
20,REQ-REL-001,"Strict readiness must fail on warnings, dirty tree, missing current-HEAD device evidence",RELEASE_GATE,REL-001,MAPS_TO,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
21,REQ-APK-001,"Current HEAD preview/debug APK must build, install, cold start, and provide hash/link",RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
22,REQ-DOC-ROOT-001,Trace and reconcile source document: 01_통합_폴더_파일트리_최종본,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
23,REQ-DOC-ROOT-002,Trace and reconcile source document: 02_폴더별_역할_정의서_최종본,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
24,REQ-DOC-ROOT-003,Trace and reconcile source document: 03_파일_네이밍_규칙_최종본,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
25,REQ-DOC-ROOT-004,Trace and reconcile source document: 04_모듈_경계_및_의존성_정의서_최종본,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
26,REQ-DOC-ROOT-005,Trace and reconcile source document: 05_최종_구현_준비도_체크리스트,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
27,REQ-DOC-CODEX-001,Trace and reconcile source document: 00_INDEX,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
28,REQ-DOC-CODEX-002,Trace and reconcile source document: 01_PROJECT_BRIEF,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
29,REQ-DOC-CODEX-003,Trace and reconcile source document: 02_MASTER_REQUIREMENTS,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
30,REQ-DOC-CODEX-004,Trace and reconcile source document: 03_ARCHITECTURE,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
31,REQ-DOC-CODEX-005,Trace and reconcile source document: 04_SERVER_AUTHORITY_RULES,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
32,REQ-DOC-CODEX-006,Trace and reconcile source document: 05_PRIVACY_ADS_SECURITY,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
33,REQ-DOC-CODEX-007,Trace and reconcile source document: 06_MOBILE_APP_CONTEXT,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
34,REQ-DOC-CODEX-008,Trace and reconcile source document: 07_API_CONTEXT,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
35,REQ-DOC-CODEX-009,Trace and reconcile source document: 08_FILE_COMPLETION_LOG,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
36,REQ-DOC-CODEX-010,Trace and reconcile source document: 09_VALIDATION_PROTOCOL,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
37,REQ-DOC-CODEX-011,Trace and reconcile source document: 10_CODING_CONVENTIONS,LEGACY_REQUIREMENT,,UNKNOWN,FALSE,FALSE,FALSE,TRUE,FALSE,Derived classification; legacy matrix preserved unchanged.
38,REQ-DOC-CODEX-012,Trace and reconcile source document: 00_CURRENT_BASELINE_AUDIT,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
39,REQ-DOC-CODEX-013,Trace and reconcile source document: 01_SOURCE_DOCUMENT_INDEX,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
40,REQ-DOC-CODEX-014,Trace and reconcile source document: 04_CONFLICT_DECISION_LOG,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
41,REQ-DOC-CODEX-015,Trace and reconcile source document: 05_GAP_REGISTER,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
42,REQ-DOC-CODEX-016,Trace and reconcile source document: 06_IMPLEMENTATION_PLAN,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
43,REQ-DOC-CODEX-017,Trace and reconcile source document: 07_DEVICE_TEST_MATRIX,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
44,REQ-DOC-CODEX-018,Trace and reconcile source document: 08_RELEASE_GATE_MATRIX,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
45,REQ-DOC-CODEX-019,Trace and reconcile source document: 09_EXTERNAL_APPROVAL_GATES,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
46,REQ-DOC-CODEX-020,Trace and reconcile source document: 10_MERGE_CONFLICT_CLASSIFICATION,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
47,REQ-DOC-CODEX-021,Trace and reconcile source document: 10_MERGE_CONFLICT_CLASSIFICATION,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
48,REQ-DOC-CODEX-022,Trace and reconcile source document: 100_ITERATION_090_MOBILE_AUTH_CONFLICT_PORT_REVIEW,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
49,REQ-DOC-CODEX-023,Trace and reconcile source document: 101_ITERATION_091_MOBILE_ROUTER_TABS_CAPTURE_CONFLICT_PORT_REVIEW,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
50,REQ-DOC-CODEX-024,Trace and reconcile source document: 102_ITERATION_092_MOBILE_LEVEL_CONFLICT_PORT_REVIEW,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
51,REQ-DOC-CODEX-025,Trace and reconcile source document: 103_ITERATION_093_MOBILE_COMMUNITY_CONFLICT_PORT_REVIEW,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
52,REQ-DOC-CODEX-026,Trace and reconcile source document: 104_ITERATION_094_LATEST_SOURCE_ARM64_APK_REFRESH,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
53,REQ-DOC-CODEX-027,Trace and reconcile source document: 105_ITERATION_095_CLEAN_SOURCE_AND_PHONE_BLOCKER_RECHECK,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
54,REQ-DOC-CODEX-028,Trace and reconcile source document: 106_ITERATION_096_HOME_PLAN_REGRESSION_RECHECK,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
55,REQ-DOC-CODEX-029,Trace and reconcile source document: 107_ITERATION_097_STORAGE_AND_ARCHIVE_CLEANUP,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
56,REQ-DOC-CODEX-030,Trace and reconcile source document: 108_ITERATION_098_KEYBOARD_INSET_CONTRACT,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
57,REQ-DOC-CODEX-031,Trace and reconcile source document: 109_ITERATION_099_PREVIEW_APK_HEAD_GATE,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
58,REQ-DOC-CODEX-032,Trace and reconcile source document: 11_MERGE_CONFLICT_PORT_DECISIONS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
59,REQ-DOC-CODEX-033,Trace and reconcile source document: 11_MERGE_CONFLICT_PORT_DECISIONS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
60,REQ-DOC-CODEX-034,Trace and reconcile source document: 110_ITERATION_100_CURRENT_HEAD_APK_REFRESH,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
61,REQ-DOC-CODEX-035,Trace and reconcile source document: 111_ITERATION_102_STORAGE_RECLAMATION,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
62,REQ-DOC-CODEX-036,Trace and reconcile source document: 112_ITERATION_103_DATE_GATED_PLAN_REMINDERS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
63,REQ-DOC-CODEX-037,Trace and reconcile source document: 113_ITERATION_104_DAILY_BUDGET_DATE_KEY,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
64,REQ-DOC-CODEX-038,Trace and reconcile source document: 114_ITERATION_105_REQUIREMENTS_TRACEABILITY_GENERATOR,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
65,REQ-DOC-CODEX-039,Trace and reconcile source document: 12_ITERATION_002_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
66,REQ-DOC-CODEX-040,Trace and reconcile source document: 13_ITERATION_003_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
67,REQ-DOC-CODEX-041,Trace and reconcile source document: 14_ITERATION_004_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
68,REQ-DOC-CODEX-042,Trace and reconcile source document: 15_ITERATION_005_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
69,REQ-DOC-CODEX-043,Trace and reconcile source document: 16_ITERATION_006_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
70,REQ-DOC-CODEX-044,Trace and reconcile source document: 17_ITERATION_007_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
71,REQ-DOC-CODEX-045,Trace and reconcile source document: 18_ITERATION_008_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
72,REQ-DOC-CODEX-046,Trace and reconcile source document: 19_ITERATION_009_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
73,REQ-DOC-CODEX-047,Trace and reconcile source document: 20_ITERATION_010_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
74,REQ-DOC-CODEX-048,Trace and reconcile source document: 21_ITERATION_011_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
75,REQ-DOC-CODEX-049,Trace and reconcile source document: 22_ITERATION_012_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
76,REQ-DOC-CODEX-050,Trace and reconcile source document: 23_ITERATION_013_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
77,REQ-DOC-CODEX-051,Trace and reconcile source document: 24_ITERATION_014_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
78,REQ-DOC-CODEX-052,Trace and reconcile source document: 25_ITERATION_015_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
79,REQ-DOC-CODEX-053,Trace and reconcile source document: 26_ITERATION_016_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
80,REQ-DOC-CODEX-054,Trace and reconcile source document: 27_ITERATION_017_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
81,REQ-DOC-CODEX-055,Trace and reconcile source document: 28_ITERATION_018_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
82,REQ-DOC-CODEX-056,Trace and reconcile source document: 29_ITERATION_019_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
83,REQ-DOC-CODEX-057,Trace and reconcile source document: 30_ITERATION_020_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
84,REQ-DOC-CODEX-058,Trace and reconcile source document: 31_ITERATION_021_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
85,REQ-DOC-CODEX-059,Trace and reconcile source document: 32_ITERATION_022_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
86,REQ-DOC-CODEX-060,Trace and reconcile source document: 33_ITERATION_023_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
87,REQ-DOC-CODEX-061,Trace and reconcile source document: 34_ITERATION_024_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
88,REQ-DOC-CODEX-062,Trace and reconcile source document: 35_ITERATION_025_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
89,REQ-DOC-CODEX-063,Trace and reconcile source document: 36_ITERATION_026_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
90,REQ-DOC-CODEX-064,Trace and reconcile source document: 37_ITERATION_027_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
91,REQ-DOC-CODEX-065,Trace and reconcile source document: 38_ITERATION_028_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
92,REQ-DOC-CODEX-066,Trace and reconcile source document: 39_ITERATION_029_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
93,REQ-DOC-CODEX-067,Trace and reconcile source document: 40_ITERATION_030_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
94,REQ-DOC-CODEX-068,Trace and reconcile source document: 41_ITERATION_031_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
95,REQ-DOC-CODEX-069,Trace and reconcile source document: 42_ITERATION_032_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
96,REQ-DOC-CODEX-070,Trace and reconcile source document: 43_ITERATION_033_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
97,REQ-DOC-CODEX-071,Trace and reconcile source document: 44_ITERATION_034_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
98,REQ-DOC-CODEX-072,Trace and reconcile source document: 45_ITERATION_035_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
99,REQ-DOC-CODEX-073,Trace and reconcile source document: 46_ITERATION_036_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
100,REQ-DOC-CODEX-074,Trace and reconcile source document: 47_ITERATION_037_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
101,REQ-DOC-CODEX-075,Trace and reconcile source document: 48_ITERATION_038_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
102,REQ-DOC-CODEX-076,Trace and reconcile source document: 49_ITERATION_039_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
103,REQ-DOC-CODEX-077,Trace and reconcile source document: 50_ITERATION_040_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
104,REQ-DOC-CODEX-078,Trace and reconcile source document: 51_ITERATION_041_STATUS,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
105,REQ-DOC-CODEX-079,Trace and reconcile source document: 52_ITERATION_042_STORAGE_AUDIT,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
106,REQ-DOC-CODEX-080,Trace and reconcile source document: 53_ITERATION_043_SALARY_OVERDUE_REMINDER_ACCESSIBILITY,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
107,REQ-DOC-CODEX-081,Trace and reconcile source document: 54_ITERATION_044_PLAN_SERVER_FAILURE_GUARD,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
108,REQ-DOC-CODEX-082,Trace and reconcile source document: 55_ITERATION_045_PLAN_PAYDAY_MONTH_END_GUARD,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
109,REQ-DOC-CODEX-083,Trace and reconcile source document: 56_ITERATION_046_SALARY_SERVER_FAILURE_GUARD,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
110,REQ-DOC-CODEX-084,Trace and reconcile source document: 57_ITERATION_047_D_DRIVE_TEMP_CLEANUP_GUARD,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
111,REQ-DOC-CODEX-085,Trace and reconcile source document: 58_ITERATION_048_COMMUNITY_WRITE_SERVER_PERSISTENCE,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
112,REQ-DOC-CODEX-086,Trace and reconcile source document: 59_ITERATION_049_MERGE_CONFLICT_ARCHIVE_CLASSIFICATION,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
113,REQ-DOC-CODEX-087,Trace and reconcile source document: 60_ITERATION_050_STORAGE_ALIAS_AUDIT,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
114,REQ-DOC-CODEX-088,Trace and reconcile source document: 61_ITERATION_051_COMMUNITY_DETAIL_SERVER_BOUNDARY,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
115,REQ-DOC-CODEX-089,Trace and reconcile source document: 62_ITERATION_052_LEVEL_ROUTE_FEATURE_BOUNDARY,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
116,REQ-DOC-CODEX-090,Trace and reconcile source document: 63_ITERATION_053_ROUTE_FALLBACK_READINESS_GATE,RELEASE_GATE,,SUPPORTING_GATE,FALSE,FALSE,TRUE,FALSE,FALSE,Derived classification; legacy matrix preserved unchanged.
