ERROR_CODE,NAMESPACE,HTTP_STATUS,RETRYABLE,USER_FACING,LOG_SEVERITY,OWNING_DOMAIN
DATABASE_MIGRATION_REQUIRED,DATABASE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DATABASE
DATABASE_NOT_FOUND,DATABASE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DATABASE
DATABASE_READONLY_MODE,DATABASE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DATABASE
DATABASE_RESTORE_CHECK_REQUIRED,DATABASE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DATABASE
DATABASE_RLS_DENIED,DATABASE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DATABASE
DATABASE_TRANSACTION_FAILED,DATABASE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DATABASE
DEPENDENCY_UNAVAILABLE,DEPENDENCY,503,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DEPENDENCY
DO_NOT_RETRY,DO,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,DO
EXPENSE_CATEGORY_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,EXPENSE
EXPENSE_FIXED_AMOUNT_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,EXPENSE
EXPENSE_FIXED_NOT_FOUND,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,EXPENSE
EXPENSE_FIXED_SCHEDULE_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,EXPENSE
EXPENSE_VARIABLE_AMOUNT_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,EXPENSE
EXPENSE_VARIABLE_DATE_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,EXPENSE
EXPENSE_VARIABLE_DUPLICATE,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,EXPENSE
EXPENSE_VARIABLE_NOT_FOUND,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,EXPENSE
FINANCE_KRW_INTEGER_REQUIRED,FINANCE,422,NO,YES_SAFE_MESSAGE,MEDIUM,FINANCE
GROWTH_CATEGORY_DISABLED,GROWTH,422,NO,NO_PRIVATE_SAFE,MEDIUM,GROWTH
GROWTH_DAILY_LIMIT_EXCEEDED,GROWTH,422,NO,NO_PRIVATE_SAFE,MEDIUM,GROWTH
GROWTH_REWARD_POLICY_INVALID,GROWTH,422,NO,NO_PRIVATE_SAFE,MEDIUM,GROWTH
GROWTH_TASK_ALREADY_COMPLETED,GROWTH,422,NO,NO_PRIVATE_SAFE,MEDIUM,GROWTH
GROWTH_TASK_NOT_FOUND,GROWTH,422,NO,NO_PRIVATE_SAFE,MEDIUM,GROWTH
IDEMPOTENCY_KEY_REQUIRED,IDEMPOTENCY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,IDEMPOTENCY
INTERNAL_UNEXPECTED_ERROR,INTERNAL,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,INTERNAL
NOTIFICATION_NOT_FOUND,NOTIFICATION,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,NOTIFICATION
NOTIFICATION_OPT_OUT,NOTIFICATION,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,NOTIFICATION
NOTIFICATION_PUSH_SEND_FAILED,NOTIFICATION,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,NOTIFICATION
NOTIFICATION_PUSH_TOKEN_INVALID,NOTIFICATION,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,NOTIFICATION
NOTIFICATION_QUEUE_FAILED,NOTIFICATION,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,NOTIFICATION
NOTIFICATION_RATE_LIMITED,NOTIFICATION,429,YES_BACKOFF,NO_PRIVATE_SAFE,MEDIUM,NOTIFICATION
NOTIFICATION_TEMPLATE_INVALID,NOTIFICATION,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,NOTIFICATION
NOTIFICATION_WORKER,NOTIFICATION,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,NOTIFICATION
NOT_FOUND_RESOURCE,NOT,404,NO,NO_PRIVATE_SAFE,MEDIUM,NOT
OPERATIONS_BACKUP_REQUIRED,OPERATIONS,503,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,OPERATIONS
OPERATIONS_DEPLOYMENT_BLOCKED,OPERATIONS,503,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,OPERATIONS
OPERATIONS_INCIDENT_OPEN,OPERATIONS,503,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,OPERATIONS
OPERATIONS_OBSERVABILITY_EVENT_FAILED,OPERATIONS,503,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,OPERATIONS
OPERATIONS_RELEASE_GATE_FAILED,OPERATIONS,503,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,OPERATIONS
OPERATIONS_RESTORE_REHEARSAL_REQUIRED,OPERATIONS,503,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,OPERATIONS
PARTNER_ACCOUNT_NOT_FOUND,PARTNER,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,PARTNER
PARTNER_CONTRACT_INACTIVE,PARTNER,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,PARTNER
PARTNER_RATE_LIMITED,PARTNER,429,YES_BACKOFF,NO_PRIVATE_SAFE,MEDIUM,PARTNER
PARTNER_WEBHOOK_INVALID,PARTNER,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,PARTNER
PAYROLL_AMOUNT_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,PAYROLL
PAYROLL_CALCULATION_FAILED,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,PAYROLL
PAYROLL_CYCLE_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,PAYROLL
PAYROLL_HIJACK_AMOUNT_CLAMPED,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,PAYROLL
PAYROLL_PAYDAY_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,PAYROLL
PAYROLL_PLAN_NOT_FOUND,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,PAYROLL
PAYROLL_SERVER_AUTHORITY_REQUIRED,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,PAYROLL
PAYROLL_SNAPSHOT_FAILED,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,PAYROLL
PRIVATE_SAFE,PRIVATE,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,PRIVATE
PUBLIC_SAFE,PUBLIC,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,PUBLIC
RATE_LIMIT_EXCEEDED,RATE,429,YES_BACKOFF,NO_PRIVATE_SAFE,MEDIUM,RATE
RBAC_ADMIN_FORBIDDEN,RBAC,403,NO,NO_PRIVATE_SAFE,HIGH,RBAC
RBAC_AUDIT_REASON_REQUIRED,RBAC,403,NO,NO_PRIVATE_SAFE,HIGH,RBAC
RBAC_FORBIDDEN,RBAC,403,NO,NO_PRIVATE_SAFE,HIGH,RBAC
RBAC_MODERATOR_REQUIRED,RBAC,403,NO,NO_PRIVATE_SAFE,HIGH,RBAC
RBAC_OWNER_REQUIRED,RBAC,403,NO,NO_PRIVATE_SAFE,HIGH,RBAC
RBAC_PERMISSION_NOT_ASSIGNED,RBAC,403,NO,NO_PRIVATE_SAFE,HIGH,RBAC
REFRESH_TOKEN,REFRESH,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,REFRESH
RETRY_IMMEDIATELY,RETRY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,RETRY
RETRY_WITH_BACKOFF,RETRY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,RETRY
SAVING_FIXED_AMOUNT_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,SAVING
SAVING_FIXED_NOT_FOUND,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,SAVING
SAVING_FIXED_SCHEDULE_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,SAVING
SAVING_GOAL_INVALID,FINANCE,422,NO,NO_PRIVATE_SAFE,MEDIUM,SAVING
SECURITY_AD_FINANCIAL_JOIN_BLOCKED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_AUDIT_LOG_REQUIRED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_CORS_ORIGIN_DENIED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_CSRF_FAILED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_FILE_SIZE_EXCEEDED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_FILE_TYPE_NOT_ALLOWED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_MALWARE_SCAN_FAILED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_PAYLOAD_TOO_LARGE,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_PII_EXPOSURE_BLOCKED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_POLICY_VIOLATION,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_PRIVATE,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_RATE_LIMITED,SECURITY,429,YES_BACKOFF,NO_PRIVATE_SAFE,MEDIUM,SECURITY
SECURITY_RAW_FINANCIAL_DATA_BLOCKED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SECURITY_SECRET_EXPOSURE_DETECTED,SECURITY,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SECURITY
SYSTEM_CONFIGURATION_ERROR,SYSTEM,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SYSTEM
SYSTEM_INTERNAL_ERROR,SYSTEM,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SYSTEM
SYSTEM_MAINTENANCE_MODE,SYSTEM,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SYSTEM
SYSTEM_REQUEST_TIMEOUT,SYSTEM,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SYSTEM
SYSTEM_SERVICE_UNAVAILABLE,SYSTEM,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SYSTEM
SYSTEM_UPSTREAM_SERVICE_ERROR,SYSTEM,500,YES_BACKOFF,NO_PRIVATE_SAFE,HIGH,SYSTEM
UPLOAD_FILE_TOO_LARGE,UPLOAD,413,NO,YES_SAFE_MESSAGE,MEDIUM,UPLOAD
VALIDATION_FAILED,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_FIELD_INVALID,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_IDEMPOTENCY_KEY_CONFLICT,VALIDATION,409,NO,YES_SAFE_MESSAGE,MEDIUM,VALIDATION
VALIDATION_IDEMPOTENCY_KEY_REQUIRED,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_INVALID_DATE_RANGE,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_INVALID_PAGINATION_CURSOR,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_INVALID_PARAM,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_INVALID_QUERY,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_INVALID_REQUEST_BODY,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_UNSUPPORTED_CURRENCY,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_UNSUPPORTED_LOCALE,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
VALIDATION_UNSUPPORTED_TIMEZONE,VALIDATION,500,YES_BACKOFF,YES_SAFE_MESSAGE,HIGH,VALIDATION
