role,canonicalPermissions,permission,expected,evidence,status,notes
SUPPORT,support:manage; user:read,CONTENT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
SUPPORT,support:manage; user:read,SUPPORT_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
SUPPORT,support:manage; user:read,ADS_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
SUPPORT,support:manage; user:read,AUDIT_READ,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
SUPPORT,support:manage; user:read,ROLE_MUTATE,DENY_WITH_BREAK_GLASS_SCOPE_ONLY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
SUPPORT,support:manage; user:read,SYSTEM_OPERATION,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,support limited access; raw credentials/finance denied by route contract
ADS_PARTNER_ADMIN,ad:manage; partner:manage,USER_READ,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
ADS_PARTNER_ADMIN,ad:manage; partner:manage,USER_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
ADS_PARTNER_ADMIN,ad:manage; partner:manage,FINANCE_READ_SENSITIVE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
ADS_PARTNER_ADMIN,ad:manage; partner:manage,MODERATION_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
ADS_PARTNER_ADMIN,ad:manage; partner:manage,CONTENT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
ADS_PARTNER_ADMIN,ad:manage; partner:manage,SUPPORT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
ADS_PARTNER_ADMIN,ad:manage; partner:manage,ADS_MUTATE,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
ADS_PARTNER_ADMIN,ad:manage; partner:manage,AUDIT_READ,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
ADS_PARTNER_ADMIN,ad:manage; partner:manage,ROLE_MUTATE,DENY_WITH_BREAK_GLASS_SCOPE_ONLY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
ADS_PARTNER_ADMIN,ad:manage; partner:manage,SYSTEM_OPERATION,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,ads only; raw financial targeting denied
AUDITOR_READONLY,audit:read:minimal,USER_READ,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
AUDITOR_READONLY,audit:read:minimal,USER_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
AUDITOR_READONLY,audit:read:minimal,FINANCE_READ_SENSITIVE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
AUDITOR_READONLY,audit:read:minimal,MODERATION_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
AUDITOR_READONLY,audit:read:minimal,CONTENT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
AUDITOR_READONLY,audit:read:minimal,SUPPORT_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
AUDITOR_READONLY,audit:read:minimal,ADS_MUTATE,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
AUDITOR_READONLY,audit:read:minimal,AUDIT_READ,ALLOW,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
AUDITOR_READONLY,audit:read:minimal,ROLE_MUTATE,DENY_WITH_BREAK_GLASS_SCOPE_ONLY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
AUDITOR_READONLY,audit:read:minimal,SYSTEM_OPERATION,DENY,services/api/tests/admin-rbac-audit-moderation-routes.test.ts; services/api/tests/admin-phase3-final-closure.test.ts,PASS_LOCAL_CONTRACT,audit read only; mutations denied
