METHOD,PATH,DOMAIN,REQ_ID,DB_TABLES_DECLARED_BY_PHASE1,DB_MAPPING_STATUS,VALIDATION_TO_DB_CONSTRAINT,OWNERSHIP_TO_RLS,IDEMPOTENCY_TO_UNIQUE_INDEX,STATUS
POST,/admin/api/v1/notices/{noticeId}/unpublish,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
DELETE,/admin/api/v1/notices/{noticeId},ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
GET,/admin/api/v1/ads/campaigns,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/admin/api/v1/ads/campaigns,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
PATCH,/admin/api/v1/ads/campaigns/{campaignId},ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/api/v1/ads/campaigns/{campaignId}/activate,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/api/v1/ads/campaigns/{campaignId}/pause,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
GET,/admin/api/v1/ads/reports,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/admin/api/v1/growth/tasks,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/admin/api/v1/growth/tasks,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
PATCH,/admin/api/v1/growth/tasks/{taskId},ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
GET,/admin/api/v1/growth/contents,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/admin/api/v1/growth/contents,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
PATCH,/admin/api/v1/growth/contents/{contentId},ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/api/v1/growth/contents/{contentId}/review,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/api/v1/growth/contents/{contentId}/publish,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/api/v1/growth/contents/{contentId}/archive,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
GET,/admin/api/v1/audit-logs,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/admin/api/v1/admin-role-members,ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
PATCH,/admin/api/v1/admin-role-members/{adminId},ADMIN,ADMIN-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/api/v1/auth/register,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/api/v1/auth/login,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/auth/social-login,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/auth/oauth,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/auth/oauth/callback,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/auth/oauth/callback,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/auth/refresh,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/auth/logout,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/auth/logout-all,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/auth/me,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/auth/password-reset,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/auth/password-reset/confirm,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/auth/verify-email,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/auth/verify-email/resend,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/admin/auth/login,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/admin/auth/mfa/verify,AUTH,AUTH-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
GET,/api/v1/community/boards,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/community/posts,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/community/posts,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/community/posts/{postId},COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
PATCH,/api/v1/community/posts/{postId},COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
DELETE,/api/v1/community/posts/{postId},COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/community/posts/{postId}/like,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
DELETE,/api/v1/community/posts/{postId}/like,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/api/v1/community/comments/{commentId}/like,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
DELETE,/api/v1/community/comments/{commentId}/like,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/api/v1/community/bookmarks,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/community/shares,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/community/posts/{postId}/comments,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/community/posts/{postId}/comments,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
PATCH,/api/v1/community/comments/{commentId},COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
DELETE,/api/v1/community/comments/{commentId},COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/community/posts/{postId}/report,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/api/v1/community/comments/{commentId}/report,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
POST,/api/v1/community/reports,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,MUST_MAP_TO_IDEMPOTENCY_OR_DOMAIN_UNIQUE_KEY,PARTIAL
GET,/api/v1/community/me/posts,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/community/me/comments,COM,COM-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/daily-budgets,BUD,BUD-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/daily-budgets,BUD,BUD-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/daily-budgets/today,BUD,BUD-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/daily-budgets/summary,BUD,BUD-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/daily-budgets/calendar,BUD,BUD-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
POST,/api/v1/daily-budgets/recalculate,BUD,BUD-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,REQUIRES_ENDPOINT_SPECIFIC_CHECK,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
GET,/api/v1/daily-budgets/date/{budgetDate},BUD,BUD-PHASE1,PHASE2_DB_MAPPING_REQUIRED,PARTIAL_ENDPOINT_LEVEL_MAPPING_REQUIRED,READ_ENDPOINT,RLS_OR_ADMIN_RBAC_REQUIRED,N/A,PARTIAL
