EXPORT_NAME,SOURCE_PATH,EXPORT_KIND,PHYSICAL_TABLE_NAME,MIGRATION_BACKED,LIVE_EXISTS,CLASSIFICATION,CANONICAL_41_MEMBER,RELATED_REQ_IDS,ACTION,NOTES
community_moderation_actions,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
community_post_attachments,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
community_post_metrics_daily,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
community_post_tags,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
community_posts,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,community_posts,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,COM,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
community_reactions,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,community_reactions,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,COM,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
community_reports,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,community_reports,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,COM,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
community_shares,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
community_tags,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
community_user_sanctions,packages/db/src/schema/community.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,COM,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
daily_budget_periods,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,BUD,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_audit_events,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_budget_snapshots,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_categories,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_events,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_idempotency_records,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_import_batches,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_import_items,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_post_attachments,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_reconciliations,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
expense_refunds,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
fixed_expense_occurrences,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
fixed_expense_rules,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,EXP,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_audit_events,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,LV,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_categories,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,LV,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_content_items,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,growth_content_items,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,LV,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
growth_daily_summaries,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,LV,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_exp_events,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,LV,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_idempotency_records,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,LV,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_level_rules,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,LV,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_proof_attachments,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,LV,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_streaks,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,LV,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_task_completions,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,growth_task_completions,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,LV,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
growth_task_schedules,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,LV,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
growth_tasks,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,growth_tasks,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,LV,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
monthly_expense_periods,packages/db/src/schema/expenses.schema.ts,DB_TABLE_SPEC,,NO,NO,ORPHAN_SCHEMA,NO,DB,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
notification_audit_events,packages/db/src/schema/notifications.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,NOTI,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
notification_dedupe_records,packages/db/src/schema/notifications.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,NOTI,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
notification_deliveries,packages/db/src/schema/notifications.schema.ts,DB_TABLE_SPEC,notification_deliveries,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,NOTI,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
notification_dispatch_jobs,packages/db/src/schema/notifications.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,NOTI,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
notification_preferences,packages/db/src/schema/notifications.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,NOTI,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
notification_push_tokens,packages/db/src/schema/notifications.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,NOTI,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
notification_templates,packages/db/src/schema/notifications.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,NOTI,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
notifications,packages/db/src/schema/notifications.schema.ts,DB_TABLE_SPEC,notifications,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,DB,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
payroll_adjustments,packages/db/src/schema/payroll.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,PAY;FIN,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
payroll_allocations,packages/db/src/schema/payroll.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,PAY;FIN,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
payroll_audit_events,packages/db/src/schema/payroll.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,PAY;FIN,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
payroll_calculation_snapshots,packages/db/src/schema/payroll.schema.ts,DB_TABLE_SPEC,payroll_calculation_snapshots,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,PAY;FIN,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
payroll_cycles,packages/db/src/schema/payroll.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,PAY;FIN,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
payroll_idempotency_records,packages/db/src/schema/payroll.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,PAY;FIN,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
payroll_income_events,packages/db/src/schema/payroll.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,PAY;FIN,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
payroll_month_closures,packages/db/src/schema/payroll.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,PAY;FIN,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
payroll_settings,packages/db/src/schema/payroll.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,PAY;FIN,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
user_audit_events,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,AUTH;PROF,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
user_consents,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,user_consents,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,AUTH;PROF,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
user_devices,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,user_devices,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,AUTH;PROF,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
user_growth_stats,packages/db/src/schema/growth.schema.ts,DB_TABLE_SPEC,user_growth_stats,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,AUTH;PROF,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
user_idempotency_records,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,,NO,NO,FUTURE,NO,AUTH;PROF,KEEP_AS_NONCANONICAL_CONTRACT_SURFACE_UNTIL_MIGRATION_BACKED_OR_DEPRECATED,Not part of current 41-table physical runtime boundary; do not count as live schema drift after explicit boundary split.
user_mfa_factors,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,user_mfa_factors,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,AUTH;PROF,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
user_profiles,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,user_profiles,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,AUTH;PROF,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
user_settings,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,user_settings,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,AUTH;PROF,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
users,packages/db/src/schema/users.schema.ts,DB_TABLE_SPEC,users,YES,YES,CANONICAL_PHYSICAL_TABLE,YES,DB,KEEP_IN_CANONICAL_BOUNDARY,Included in canonicalProductionTableNames and live Neon public schema.
