REQ_ID,MOBILE_SCOPE,ROUTES,COMPONENTS,API,STATES,TEST,RUNTIME,EVIDENCE,STATUS
AUTH-011,auth/session/account mobile flows,/; /(auth)/login; /(auth)/signup; /(auth)/forgot-password; /(auth)/reset-password; /(auth)/verify-email; /auth/oauth/callback; /onboarding; /profile/account; /profile/support,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-001,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-002,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-003,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-004,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-005,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-006,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-007,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-008,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-009,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-010,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-011,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
PAY-012,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
HOME-001,financial mobile client surface,/salary,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
HOME-002,financial mobile client surface,/salary,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
HOME-003,financial mobile client surface,/salary,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
HOME-004,financial mobile client surface,/salary,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
HOME-005,financial mobile client surface,/salary,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
HOME-006,financial mobile client surface,/salary,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-001,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-002,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-003,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-004,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-005,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-006,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-007,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-008,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-009,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
BUD-010,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-001,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-002,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-003,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-004,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-005,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-006,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-007,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-008,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-009,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-010,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-011,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
EXP-012,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
SAV-001,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
SAV-002,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
SAV-003,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
SAV-004,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
SAV-005,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
SAV-006,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
SAV-007,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
SAV-008,financial mobile client surface,/plan,apps/mobile/app; apps/mobile/src/features; apps/mobile/src/shared/api,canonical mobile API client and prior staging API evidence,loading/empty/error/offline/permission/validation matrix recorded,mobile Jest focused route/API tests; Phase 9 validator,source/internal runtime evidence; current-source Android device runtime external,docs/mobile/PHASE_9_MOBILE_FUNCTIONAL_COMPLETION.json,PASS_SOURCE_INTERNAL_DEVICE_RUNTIME_EXTERNAL
